ID,Label,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_24_ACS_Total,T_24_ACS_White,T_24_ACS_Hispanic,T_24_ACS_Black,T_24_ACS_Asian,T_24_ACS_Native,T_24_ACS_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_18_SOS_Total,E_18_SOS_Dem,E_18_SOS_Rep,E_18_TREAS_Total,E_18_TREAS_Dem,E_18_TREAS_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_22_SEN_Total,E_22_SEN_Dem,E_22_SEN_Rep,E_22_GOV_Total,E_22_GOV_Dem,E_22_GOV_Rep,E_22_AG_Total,E_22_AG_Dem,E_22_AG_Rep,E_22_SOS_Total,E_22_SOS_Dem,E_22_SOS_Rep,E_22_TREAS_Total,E_22_TREAS_Dem,E_22_TREAS_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,X_20_KS_2020_StateHouse_contested_only_DRA_D,X_20_KS_2020_StateHouse_contested_only_DRA_R,X_20_KS_2020_StateHouse_contested_only_DRA_Tot,X_20_KS_2020_StateSenate_contested_only_DRA_D,X_20_KS_2020_StateSenate_contested_only_DRA_R,X_20_KS_2020_StateSenate_contested_only_DRA_Tot,X_22_2022_Age_by_Sex_Male_U5,X_22_2022_Age_by_Sex_Male_5_9,X_22_2022_Age_by_Sex_Male_10_14,X_22_2022_Age_by_Sex_Male_15_17,X_22_2022_Age_by_Sex_Male_18_19,X_22_2022_Age_by_Sex_Male_20,X_22_2022_Age_by_Sex_Male_21,X_22_2022_Age_by_Sex_Male_22_24,X_22_2022_Age_by_Sex_Male_25_29,X_22_2022_Age_by_Sex_Male_30_34,X_22_2022_Age_by_Sex_Male_35_39,X_22_2022_Age_by_Sex_Male_40_44,X_22_2022_Age_by_Sex_Male_45_49,X_22_2022_Age_by_Sex_Male_50_54,X_22_2022_Age_by_Sex_Male_55_59,X_22_2022_Age_by_Sex_Male_60_61,X_22_2022_Age_by_Sex_Male_62_64,X_22_2022_Age_by_Sex_Male_65_66,X_22_2022_Age_by_Sex_Male_67_69,X_22_2022_Age_by_Sex_Male_70_74,X_22_2022_Age_by_Sex_Male_75_79,X_22_2022_Age_by_Sex_Male_80_84,X_22_2022_Age_by_Sex_Male_O84,X_22_2022_Age_by_Sex_Female_U5,X_22_2022_Age_by_Sex_Female_5_9,X_22_2022_Age_by_Sex_Female_10_14,X_22_2022_Age_by_Sex_Female_15_17,X_22_2022_Age_by_Sex_Female_18_19,X_22_2022_Age_by_Sex_Female_20,X_22_2022_Age_by_Sex_Female_21,X_22_2022_Age_by_Sex_Female_22_24,X_22_2022_Age_by_Sex_Female_25_29,X_22_2022_Age_by_Sex_Female_30_34,X_22_2022_Age_by_Sex_Female_35_39,X_22_2022_Age_by_Sex_Female_40_44,X_22_2022_Age_by_Sex_Female_45_49,X_22_2022_Age_by_Sex_Female_50_54,X_22_2022_Age_by_Sex_Female_55_59,X_22_2022_Age_by_Sex_Female_60_61,X_22_2022_Age_by_Sex_Female_62_64,X_22_2022_Age_by_Sex_Female_65_66,X_22_2022_Age_by_Sex_Female_67_69,X_22_2022_Age_by_Sex_Female_70_74,X_22_2022_Age_by_Sex_Female_75_79,X_22_2022_Age_by_Sex_Female_80_84,X_22_2022_Age_by_Sex_Female_O84,X_22_2022_Education_NoHS,X_22_2022_Education_HS,X_22_2022_Education_SomeCol,X_22_2022_Education_Assoc,X_22_2022_Education_Bach,X_22_2022_Education_Master,X_22_2022_Education_Prof,X_22_2022_Education_Doc,X_22_2022_Income_Expanded_U10K,X_22_2022_Income_Expanded_U15K,X_22_2022_Income_Expanded_U20K,X_22_2022_Income_Expanded_U25K,X_22_2022_Income_Expanded_U30K,X_22_2022_Income_Expanded_U35K,X_22_2022_Income_Expanded_U40K,X_22_2022_Income_Expanded_U45K,X_22_2022_Income_Expanded_U50K,X_22_2022_Income_Expanded_U60K,X_22_2022_Income_Expanded_U75K,X_22_2022_Income_Expanded_U100K,X_22_2022_Income_Expanded_U125K,X_22_2022_Income_Expanded_U150K,X_22_2022_Income_Expanded_U200K,X_22_2022_Income_Expanded_O200K,X_22_Commissioner_of_Insurance_2022_D,X_22_Commissioner_of_Insurance_2022_R,X_22_Commissioner_of_Insurance_2022_Tot,X_22_KS_2022_Amendment_DRA_D,X_22_KS_2022_Amendment_DRA_R,X_22_KS_2022_Amendment_DRA_Tot,X_22_KS_2022_Q1_RulesRegs_DRA_D,X_22_KS_2022_Q1_RulesRegs_DRA_R,X_22_KS_2022_Q1_RulesRegs_DRA_Tot,X_22_KS_2022_Q2_Sheriff_DRA_D,X_22_KS_2022_Q2_Sheriff_DRA_R,X_22_KS_2022_Q2_Sheriff_DRA_Tot,X_22_KS_2022_StateHouse_contested_only_DRA_D,X_22_KS_2022_StateHouse_contested_only_DRA_R,X_22_KS_2022_StateHouse_contested_only_DRA_Tot,X_24_KS_2024_StateHouse_contested_only_DRA_D,X_24_KS_2024_StateHouse_contested_only_DRA_R,X_24_KS_2024_StateHouse_contested_only_DRA_Tot,X_24_KS_2024_StateSenate_contested_only_DRA_D,X_24_KS_2024_StateSenate_contested_only_DRA_R,X_24_KS_2024_StateSenate_contested_only_DRA_Tot,Persons Living Alone,Family Households with Persons Under 18,Owner Occupied Housing,Renter Occupied Housing,Total Persons in Group Quarters,Persons in nursing homes
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
1,1,23705,19954,610,339,166,2461,62,23412,19903,793,516,155,1897,44,18141,15662,349,182,94,1674,42,17893,15791,405,294,118,1247,39,172,104,334,39,10495,2394,7562,10384,2560,7250,8418,2784,5151,8367,2409,5958,8351,2408,5624,8397,2340,6057,9956,2582,7064,11132,2601,8330,11030,2817,7643,7780,1749,5799,7801,2213,5324,7772,2123,5649,7752,1825,5734,7771,1972,5538,10569,2333,8049,0,0,0,2129,7444,9573,690,904,592,521,289,132,163,365,619,681,662,653,676,845,808,340,566,260,392,705,393,259,215,833,795,726,479,278,154,237,246,577,626,809,505,601,900,975,320,514,340,577,482,652,268,349,1705,5361,4620,1681,2076,905,123,47,529,587,443,623,412,590,541,400,418,801,1008,1158,885,448,319,202,1813,5899,7712,2330,3630,5960,3098,4255,7353,1990,5468,7458,1928,5847,7775,2646,7805,10451,2254,8208,10462,2723,3136,7122,2525,268,207
2,2,22863,20465,797,371,181,926,48,22968,20597,762,513,176,737,0,17527,15965,455,204,119,665,34,17763,16582,342,252,103,431,0,161,56,47,0,10146,2857,6649,10033,2901,6569,8718,3787,4293,8615,3065,5550,8613,3181,5063,8620,3190,5430,9957,3214,6379,11245,3257,7764,11168,3579,6976,8176,2229,5701,8196,3166,4767,8128,2857,5271,8122,2351,5546,8127,2586,5250,11163,3107,7846,4231,6833,11060,2792,4639,7431,681,645,771,440,261,180,153,676,574,663,742,707,607,754,715,395,436,369,322,646,350,171,239,707,661,832,343,329,73,126,507,543,645,639,746,580,655,967,278,453,275,384,638,529,251,347,1049,4650,4448,1752,2443,1032,154,66,448,646,501,398,611,434,518,316,432,796,794,1400,860,310,460,325,2398,5774,8172,3396,3550,6945,3515,4152,7667,2249,5496,7745,0,0,0,3335,7588,10923,3401,7544,10949,2530,2986,6971,2294,298,195
3,3,24113,18548,2304,1401,553,1177,187,24092,18938,2694,1224,796,544,107,18783,15076,1390,880,438,867,101,17961,15211,1222,517,531,312,32,379,426,113,32,8163,3097,4425,8145,2925,4780,7080,3619,2935,6985,3198,3787,7001,3299,3399,6994,3248,3746,8094,3412,4321,9102,3828,5015,9067,3904,4647,6382,2642,3534,6401,3249,2943,6353,3061,3292,6353,2738,3416,6365,2817,3265,8812,3691,4968,4190,4883,9073,4134,4853,8987,821,888,655,545,792,438,495,1469,885,726,609,388,588,618,655,295,371,190,202,418,231,230,75,645,582,803,415,838,473,311,834,846,606,549,531,556,614,403,345,263,192,357,494,466,110,305,665,3685,2895,1102,3028,1378,105,272,752,674,956,490,560,462,342,389,415,909,816,1217,534,487,387,359,2644,3651,6295,3475,2461,5936,3068,3026,6094,2267,3821,6088,0,0,0,3481,5261,8742,3867,4820,8687,3266,3056,4610,5018,1301,278
4,4,23030,20376,604,782,203,916,42,23388,20994,689,799,286,528,89,17420,15668,331,493,139,639,28,17609,16141,454,449,169,336,9,309,118,26,9,10053,2001,7535,9962,2023,7342,8316,2563,5124,8275,2197,6078,8238,2050,5826,8237,2212,6025,9806,2268,7191,11207,2340,8663,11136,2580,7939,8124,1578,6275,8185,2349,5476,8128,2168,5960,8109,1661,6126,8073,1766,5914,11089,2219,8684,2747,8295,11042,2472,8558,11030,690,834,714,503,254,157,275,330,616,637,768,638,627,579,747,402,548,342,441,546,322,311,216,668,907,827,464,285,174,137,318,537,609,735,549,640,604,642,533,483,359,443,671,432,289,412,1373,5181,4034,1522,2350,975,152,78,450,576,395,400,583,581,320,467,520,838,909,1504,710,522,509,336,1659,6401,8060,2851,4062,6913,2931,4752,7683,1955,5852,7807,0,0,0,0,0,0,1604,4843,6447,2719,2982,6786,2526,407,134
5,5,23522,20305,1195,596,299,1006,32,24678,21680,1335,326,554,562,35,17912,15843,718,360,192,668,21,18155,16668,608,180,296,368,11,157,253,30,11,10411,3353,6223,11102,3303,6805,9186,4116,4302,9085,3576,5509,9106,3443,5280,9063,3738,5325,10671,3835,6234,12145,4313,7492,12115,4335,6974,9253,3029,5881,9291,4108,4837,9220,4235,4985,9187,3072,5644,9194,3237,5370,12824,4408,8181,1899,4786,6693,4466,7472,11954,662,773,820,516,589,139,149,477,362,648,882,804,788,704,980,210,423,235,530,625,233,165,154,679,695,922,583,340,144,179,376,622,641,708,874,500,762,882,282,687,294,320,605,303,210,202,492,5017,3848,1375,3331,1275,93,194,243,217,152,182,226,197,171,402,246,625,1057,1664,974,657,943,562,3033,5830,8863,5216,3462,8686,4538,4454,8996,3171,5809,8989,475,790,1270,3491,7433,10936,3454,6466,9916,1906,3083,6690,1948,895,182
6,6,23102,20621,779,524,217,769,28,22182,20110,608,844,130,396,8,17395,15813,435,316,130,537,14,17075,15860,418,519,46,209,0,307,27,59,0,10306,2737,6853,10233,2566,7177,8965,3282,4934,8848,2897,5951,8829,2646,5722,8826,2841,5985,10471,3139,6891,12257,3576,8420,12217,3722,7955,9242,2467,6479,9271,3482,5468,9199,3575,5624,9191,2463,6080,9185,2620,5932,12616,3724,8642,448,1042,1489,3522,8901,12424,557,790,924,534,253,314,38,331,429,580,825,592,773,699,954,344,386,334,272,421,282,339,145,455,639,898,496,301,209,72,412,313,575,562,730,780,583,975,409,505,388,370,493,438,409,207,782,4756,3421,1418,3047,1255,338,79,327,166,385,326,289,196,215,309,369,676,892,1212,970,740,1094,765,2642,6736,9378,4256,3971,8228,3843,4872,8715,2733,5964,8694,2879,6082,8960,3566,8576,12137,1926,5034,6961,2203,3184,6682,2174,350,146
7,7,23741,19055,1368,1533,224,1613,23,23212,19725,1207,1210,182,787,14,17649,14646,842,898,137,1091,19,17281,15258,686,736,127,430,0,643,16,60,0,9128,2648,5936,9082,2590,5886,7434,3133,3770,7341,2508,4833,7356,2671,4431,7354,2672,4682,8731,2870,5539,9734,3138,6407,9688,3306,5890,6898,2067,4608,6902,2778,3900,6865,2584,4281,6864,2150,4539,6850,2355,4278,9212,2876,6176,810,2298,3112,0,0,0,866,925,1004,567,279,173,164,369,631,744,707,620,639,564,847,319,475,143,379,567,380,127,198,525,635,832,480,370,89,166,231,650,608,785,633,699,625,813,441,465,369,382,693,347,271,418,1497,4698,3879,2014,2271,920,172,153,391,562,369,482,507,448,419,447,396,843,957,1308,679,637,322,373,2008,4635,6643,3144,3106,6251,3102,3452,6554,2046,4596,6642,0,0,0,2397,6554,8951,3236,5754,8986,2998,3238,6400,3103,635,237
8,8,23313,17659,835,800,3509,368,46,22808,17502,964,1141,2675,215,2,16061,12433,504,518,2269,249,26,15167,12621,648,568,1219,80,0,505,1105,25,0,10496,3978,5761,10318,3185,6763,9898,4694,4573,9784,4049,5735,9847,3966,5596,9752,4031,5721,11237,4655,6175,13484,6171,7106,13489,5882,7138,10118,4142,5752,10147,5264,4745,10048,5294,4754,10056,4229,5703,10006,4246,5136,13369,6175,6986,1270,2064,3342,4894,6394,11300,781,1023,1142,631,253,126,44,310,368,352,729,771,1213,751,1011,251,299,73,195,486,136,92,95,495,750,1047,747,131,14,29,318,330,455,956,837,1111,673,851,403,451,119,168,464,145,168,403,75,944,1795,903,6039,3245,950,419,285,41,54,82,310,42,72,73,64,314,386,537,743,384,989,3455,3931,5929,9860,5403,2998,8401,4367,4111,8480,3680,4724,8408,3982,4399,8383,4560,5081,9643,4999,5450,10450,1032,3803,6299,1212,34,0
9,9,23244,20876,749,464,208,857,49,23446,20639,1173,625,64,797,65,17880,16305,483,283,126,608,30,17574,16052,693,394,36,368,33,348,21,77,33,10208,2432,7076,10108,2248,7297,8416,3162,4595,8332,2288,6044,8327,2357,5589,8283,2533,5750,9917,2655,6880,11278,2748,8319,11207,2966,7558,8249,1779,6209,8268,2836,5080,8189,2768,5421,8169,1879,5914,8178,2204,5587,11022,2553,8249,2409,7982,10388,2999,8153,11146,765,973,665,478,471,212,106,290,667,542,846,506,605,720,1134,392,428,265,467,523,342,290,239,711,591,836,454,292,171,120,310,607,502,727,693,561,710,773,406,608,229,385,741,454,378,345,1470,5765,4230,1587,1859,1059,95,67,270,437,559,364,617,562,397,403,332,760,858,1560,992,481,401,350,1925,6224,8149,3343,3823,7163,3481,4317,7796,2220,5612,7828,2110,6044,8153,69,234,302,0,0,0,2847,3004,7017,2444,477,115
