HD-1, 	, 	, 	0.4718, 	-0.05, 	0, 	0, 	, 	1.01, 	0.0670671305484289, 	0.000000
HD-2, 	Avery Rowland, 	Dan Muter, 	0.3571, 	-0.05, 	0, 	0, 	, 	0.307095961370014, 	0.0670671305484289, 	0.000002
HD-3, 	Isaiah Harris, 	D.J. Perry, 	0.08294, 	-0.05, 	0, 	0, 	-0.005508, 	0.0474275975334916, 	0.0661286624694618, 	0.236625
HD-4, 	, 	, 	0.52129, 	-0.05, 	0, 	0, 	, 	1.01, 	0.0670671305484289, 	0.000000
HD-5, 	Henry Johns, 	Courtney Sappington, 	0.24149, 	-0.05, 	0, 	0.0139136642335568, 	0.0149736, 	0.220380560413308, 	0.0651536645170477, 	0.000359
HD-6, 	Frank Henderson, 	Samantha Poetter Parshall, 	0.35309, 	-0.05, 	0.02, 	0.000538631864359589, 	, 	0.323628009194544, 	0.0655362495112438, 	0.000000
HD-7, 	Taylor Moreland, 	Thomas Douglas Allen, 	0.30562, 	-0.05, 	0, 	0, 	, 	0.255624057956015, 	0.0670671305484289, 	0.000069
HD-8, 	Megan Phillips, 	Chris Croft, 	0.0673, 	-0.05, 	0.02, 	-0.0040231989834271, 	0.013209, 	0.0464864675403988, 	0.0642650760522385, 	0.234731
HD-9, 	, 	, 	0.45599, 	-0.05, 	0, 	0, 	, 	1.01, 	0.0670671305484289, 	0.000000
HD-10, 	, 	, 	-0.59601, 	-0.05, 	0, 	0, 	, 	-1.01, 	0.0670671305484289, 	1.000000
HD-11, 	William Kendall, 	Ron Bryce, 	0.42909, 	-0.05, 	0.02, 	0.0151584811268076, 	, 	0.414249856024013, 	0.0661059755241537, 	0.000000
HD-12, 	Garland Ferrell, 	Marci Laffen, 	0.59207, 	-0.05, 	0, 	0, 	, 	0.542074799760824, 	0.0670671305484289, 	0.000000
HD-13, 	Mark Remmert, 	Duane Droge, 	0.53395, 	-0.05, 	0.02, 	0.0100965139656651, 	, 	0.514044460045524, 	0.0661059755241537, 	0.000000
HD-14, 	Sherry Giebler, 	Charlotte Esau, 	-0.01803, 	-0.05, 	0.02, 	-0.00328787271512723, 	-0.0116433, 	-0.062958304519513, 	0.0632613626157389, 	0.840183
HD-15, 	Allison Hougland, 	Lauren N. Bohi, 	-0.01833, 	-0.05, 	0.02, 	0.0151816717668046, 	-0.008925, 	-0.0420704387698631, 	0.0635767253010093, 	0.745927
HD-16, 	, 	, 	-0.09456, 	-0.05, 	0, 	0, 	, 	-1.01, 	0.0670671305484289, 	1.000000
HD-17, 	Jo Ella Hoye, 	Jim Eschrich, 	-0.1199, 	-0.05, 	-0.03, 	0.0128947867309801, 	0.002193, 	-0.184809685736506, 	0.0645755371638518, 	0.997895
HD-18, 	Cindy Neighbor, 	Robert Whitman, 	-0.14234, 	-0.05, 	-0.03, 	-0.0120339518415989, 	, 	-0.234377835787827, 	0.0642417309853961, 	0.999868
HD-19, 	Stephanie Sawyer Clayton, 	Mark Hermes, 	-0.25455, 	-0.05, 	-0.03, 	0.0035878827816458, 	, 	-0.330965538084014, 	0.0645523043740501, 	1.000000
HD-20, 	, 	, 	-0.13082, 	-0.05, 	0, 	0, 	, 	-1.01, 	0.0670671305484289, 	1.000000
HD-21, 	, 	, 	-0.34994, 	-0.05, 	0, 	0, 	, 	-1.01, 	0.0670671305484289, 	1.000000
HD-22, 	, 	, 	-0.28542, 	-0.05, 	0, 	0, 	, 	-1.01, 	0.0670671305484289, 	1.000000
HD-23, 	, 	, 	-0.22817, 	-0.05, 	0, 	0, 	, 	-1.01, 	0.0670671305484289, 	1.000000
HD-24, 	Jarrod Ousley, 	Scott Speicker, 	-0.3301, 	-0.05, 	-0.03, 	0.0150773432431154, 	, 	-0.395024628871367, 	0.0652303610292017, 	1.000000
HD-25, 	, 	, 	-0.35965, 	-0.05, 	0, 	0, 	, 	-1.01, 	0.0670671305484289, 	1.000000
HD-26, 	Laura Johnson, 	Chip VanHouden, 	0.11814, 	-0.05, 	0.02, 	0, 	0.0118065, 	0.0999506995717328, 	0.0659943179372285, 	0.064945
HD-27, 	Sara Kiewiet, 	Sean E. Tarwater Sr, 	0.10765, 	-0.05, 	0.02, 	0.0268019523954823, 	0.013005, 	0.117455104367252, 	0.0642650760522385, 	0.033800
HD-28, 	Bryan Mouber, 	Alex Bergman, 	-0.02065, 	-0.05, 	0, 	0, 	-0.01377, 	-0.0844157624519463, 	0.0661286624694618, 	0.899117
HD-29, 	, 	, 	-0.20777, 	-0.05, 	0, 	0, 	, 	-1.01, 	0.0670671305484289, 	1.000000
HD-30, 	Amelia Wiederaenders, 	Laura Williams, 	-0.02759, 	-0.05, 	0.02, 	0.0196819751042914, 	0.015555, 	-0.022351053108403, 	0.0642650760522385, 	0.636003
HD-31, 	Emily Hane, 	Dennis Grindel, 	-0.41036, 	-0.05, 	0, 	-0.00735871393759374, 	, 	-0.467721172632522, 	0.0655362495112438, 	1.000000
