1	UNCONTESTED R	0%	101.0%	49.4%
2	SAFE R	0%	30.3%	38.5%
3	LEAN R	26%	4.3%	20.4%
4	UNCONTESTED R	0%	101.0%	101.0%
5	SAFE R	0%	21.6%	36.7%
6	SAFE R	0%	32.0%	41.5%
7	SAFE R	0%	25.2%	47.0%
8	LEAN R	25%	4.2%	10.5%
9	UNCONTESTED R	0%	101.0%	101.0%
10	UNCONTESTED D	100%	-101.0%	-101.0%
11	SAFE R	0%	41.0%	101.0%
12	SAFE R	0%	53.8%	101.0%
13	SAFE R	0%	51.0%	60.5%
14	LIKELY D	86%	-6.7%	2.7%
15	LIKELY D	77%	-4.6%	1.4%
16	UNCONTESTED D	100%	-101.0%	-101.0%
17	SAFE D	100%	-18.9%	-101.0%
18	SAFE D	100%	-23.8%	-16.4%
19	SAFE D	100%	-33.5%	-24.9%
20	UNCONTESTED D	100%	-101.0%	-15.2%
21	UNCONTESTED D	100%	-101.0%	-101.0%
22	UNCONTESTED D	100%	-101.0%	-101.0%
23	UNCONTESTED D	100%	-101.0%	-101.0%
24	SAFE D	100%	-39.9%	-29.6%
25	UNCONTESTED D	100%	-101.0%	-28.9%
26	VERY LIKELY R	7%	9.6%	101.0%
27	VERY LIKELY R	4%	11.3%	17.9%
28	VERY LIKELY D	91%	-8.8%	1.2%
29	UNCONTESTED D	100%	-101.0%	-101.0%
30	LEAN D	66%	-2.6%	5.2%
31	SAFE D	100%	-47.2%	-40.6%
32	UNCONTESTED D	100%	-101.0%	-48.3%
33	LEAN D	72%	-3.9%	13.3%
34	SAFE D	100%	-63.8%	-101.0%
35	SAFE D	100%	-67.2%	-101.0%
36	SAFE D	100%	-28.4%	-21.9%
37	SAFE D	100%	-30.9%	-25.6%
38	SAFE R	0%	21.9%	32.8%
39	LEAN D	74%	-4.2%	3.2%
40	LIKELY R	11%	8.1%	101.0%
41	LIKELY D	85%	-6.8%	5.1%
42	SAFE R	0%	20.4%	32.8%
43	SAFE R	0%	17.9%	101.0%
44	UNCONTESTED D	100%	-101.0%	-101.0%
45	UNCONTESTED D	100%	-101.0%	-101.0%
46	UNCONTESTED D	100%	-101.0%	-101.0%
47	SAFE R	0%	21.0%	32.3%
48	UNCONTESTED D	100%	-101.0%	-5.8%
49	SAFE D	98%	-13.5%	-1.2%
50	UNCONTESTED R	0%	101.0%	32.7%
51	UNCONTESTED R	0%	101.0%	37.6%
52	LIKELY R	14%	6.8%	11.3%
53	UNCONTESTED D	100%	-101.0%	-7.5%
54	SAFE R	0%	24.4%	35.5%
55	SAFE D	100%	-35.8%	-26.5%
56	SAFE D	100%	-18.7%	-9.3%
57	UNCONTESTED D	100%	-101.0%	-17.9%
58	SAFE D	100%	-36.1%	-27.1%
59	SAFE R	0%	33.7%	44.5%
60	LIKELY R	24%	4.5%	16.0%
61	UNCONTESTED R	0%	101.0%	101.0%
62	VERY LIKELY R	3%	31.7%	101.0%
63	SAFE R	0%	39.0%	101.0%
64	UNCONTESTED R	0%	101.0%	101.0%
65	UNCONTESTED R	0%	101.0%	14.0%
66	SAFE D	100%	-40.9%	-101.0%
67	LIKELY D	88%	-7.6%	4.9%
68	UNCONTESTED R	0%	101.0%	37.9%
69	SAFE R	0%	26.8%	16.4%
70	SAFE R	0%	45.9%	101.0%
71	SAFE R	0%	26.6%	101.0%
72	SAFE R	0%	20.9%	30.3%
73	SAFE R	0%	30.1%	101.0%
74	SAFE R	0%	31.2%	41.3%
75	SAFE R	0%	35.9%	101.0%
76	SAFE R	0%	40.3%	101.0%
77	SAFE R	0%	35.5%	101.0%
78	TOSSUP	51%	-0.1%	8.8%
79	SAFE R	0%	34.0%	45.5%
80	VERY LIKELY R	6%	21.2%	101.0%
81	SAFE R	0%	21.6%	101.0%
82	SAFE R	0%	25.4%	34.6%
83	SAFE D	100%	-26.1%	-16.0%
84	UNCONTESTED D	100%	-101.0%	-101.0%
85	LIKELY R	24%	4.6%	15.7%
86	SAFE D	100%	-23.5%	-101.0%
87	UNCONTESTED R	0%	101.0%	8.6%
88	LEAN D	70%	-3.4%	2.1%
89	UNCONTESTED D	100%	-101.0%	-101.0%
90	SAFE R	0%	35.2%	41.9%
91	SAFE R	0%	22.0%	31.8%
92	SAFE D	100%	-27.0%	-101.0%
93	SAFE R	0%	41.0%	49.4%
94	UNCONTESTED R	0%	101.0%	101.0%
95	UNCONTESTED D	100%	-101.0%	-7.9%
96	LEAN R	39%	1.8%	9.4%
97	SAFE R	0%	16.9%	23.0%
98	SAFE R	0%	17.5%	24.4%
99	SAFE R	0%	20.7%	101.0%
100	VERY LIKELY R	4%	11.9%	21.6%
101	SAFE R	0%	38.3%	101.0%
102	TILT R	41%	1.4%	4.1%
103	SAFE D	100%	-37.3%	-101.0%
104	SAFE R	0%	29.2%	29.1%
105	VERY LIKELY R	6%	9.8%	18.0%
106	UNCONTESTED R	0%	101.0%	101.0%
107	SAFE R	0%	49.5%	101.0%
108	UNCONTESTED D	100%	-101.0%	-101.0%
109	UNCONTESTED R	0%	101.0%	68.2%
110	SAFE R	0%	61.2%	70.3%
111	SAFE R	0%	32.2%	46.5%
112	SAFE R	0%	47.3%	42.9%
113	SAFE R	0%	48.0%	54.2%
114	SAFE R	0%	48.7%	101.0%
115	UNCONTESTED R	0%	101.0%	101.0%
116	SAFE R	0%	48.2%	101.0%
117	LEAN R	29%	3.5%	15.0%
118	UNCONTESTED R	0%	101.0%	101.0%
119	UNCONTESTED R	0%	101.0%	101.0%
120	UNCONTESTED R	0%	101.0%	101.0%
121	LEAN D	62%	-2.1%	11.0%
122	UNCONTESTED R	0%	101.0%	101.0%
123	SAFE R	0%	25.3%	30.8%
124	UNCONTESTED R	0%	101.0%	101.0%
125	UNCONTESTED R	0%	101.0%	101.0%
