dem_seats,	probability,	cumulative_at_least,
34,	0.00002,	1,
35,	0.00009,	0.99998,
36,	0.00063,	0.99989,
37,	0.00319,	0.99926,
38,	0.00774,	0.99607,
39,	0.01479,	0.98833,
40,	0.02281,	0.97354,
41,	0.03313,	0.95073,
42,	0.04363,	0.9176,
43,	0.05479,	0.87397,
44,	0.06462,	0.81918,
45,	0.07364,	0.75456,
46,	0.08151,	0.68092,
47,	0.0838,	0.59941,
48,	0.08314,	0.51561,
49,	0.08015,	0.43247,
50,	0.07403,	0.35232,
51,	0.06639,	0.27829,
52,	0.05705,	0.2119,
53,	0.0464,	0.15485,
54,	0.03555,	0.10845,
55,	0.02629,	0.0729,
56,	0.01935,	0.04661,
57,	0.0118,	0.02726,
58,	0.00767,	0.01546,
59,	0.00412,	0.00779,
60,	0.0022,	0.00367,
61,	0.00097,	0.00147,
62,	0.00025,	0.0005,
63,	0.00012,	0.00025,
64,	0.0001,	0.00013,
65,	0.00003,	0.00003,
